------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.42958
            0.191626,              1.44991
            0.383252,              1.50775
            0.574878,              1.59557
            0.766504,              1.70498
             0.95813,              1.82885
             1.14976,              1.90243
             1.34138,              1.90214
             1.53301,              1.90406
             1.72463,              1.90838
             1.91626,               1.9152
             2.10789,              1.92458
             2.29951,              1.93656
             2.49114,              1.95112
             2.68276,              1.96824
             2.87439,              1.98789
             3.06602,              2.01002
             3.25764,              2.03457
             3.44927,              2.06145
             3.64089,              2.09059
             3.83252,               2.1219
             4.02414,              2.15527
             4.21577,               2.1906
              4.4074,              2.22778
             4.59902,              2.26667
             4.79065,              2.30715
             4.98227,              2.34909
              5.1739,              2.39232
             5.36553,              2.43669
             5.55715,              2.48204

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,             -0.10807
            0.191626,            -0.109487
            0.383252,             -0.11356
            0.574878,            -0.120187
            0.766504,            -0.129116
             0.95813,            -0.140848
             1.14976,            -0.155297
             1.34138,            -0.172419
             1.53301,            -0.192493
             1.72463,            -0.215267
             1.91626,              -0.2411
             2.10789,            -0.269731
             2.29951,            -0.301436
             2.49114,            -0.335992
             2.68276,            -0.373537
             2.87439,            -0.413974
             3.06602,            -0.457195
             3.25764,            -0.503223
             3.44927,            -0.551881
             3.64089,            -0.603052
             3.83252,            -0.656669
             4.02414,             -0.71253
             4.21577,            -0.770451
              4.4074,            -0.830321
             4.59902,            -0.891872
             4.79065,            -0.954907
             4.98227,              -1.0192
              5.1739,             -1.08443
             5.36553,              -1.1503
             5.55715,              -1.2165

