------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.60774
            0.191468,              1.63948
            0.382936,              1.70539
            0.574404,              1.71066
            0.765872,              1.69766
             0.95734,              1.68884
             1.14881,              1.68414
             1.34028,              1.68346
             1.53174,              1.68674
             1.72321,              1.69389
             1.91468,               1.7048
             2.10615,              1.71939
             2.29762,              1.73754
             2.48908,              1.75915
             2.68055,              1.78408
             2.87202,              1.81223
             3.06349,              1.84346
             3.25496,              1.87764
             3.44642,              1.91463
             3.63789,              1.95429
             3.82936,              1.99647
             4.02083,              2.04101
              4.2123,              2.08777
             4.40376,              2.13658
             4.59523,              2.18727
              4.7867,              2.23969
             4.97817,              2.29365
             5.16964,              2.34898
              5.3611,              2.40551
             5.55257,              2.46305

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,             0.687913
            0.191468,             0.680201
            0.382936,             0.681033
            0.574404,             0.678102
            0.765872,             0.674099
             0.95734,              0.66879
             1.14881,             0.661969
             1.34028,             0.653405
             1.53174,             0.642822
             1.72321,             0.629885
             1.91468,             0.614187
             2.10615,             0.595255
             2.29762,             0.571832
             2.48908,             0.544281
             2.68055,             0.512518
             2.87202,             0.476246
             3.06349,             0.435031
             3.25496,             0.387584
             3.44642,             0.334947
             3.63789,             0.277144
             3.82936,             0.213524
             4.02083,             0.144228
              4.2123,            0.0700882
             4.40376,          -0.00933101
             4.59523,           -0.0935483
              4.7867,            -0.181777
             4.97817,            -0.274478
             5.16964,            -0.370486
              5.3611,            -0.469692
             5.55257,            -0.571393

