------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.13523
            0.199467,              1.14275
            0.398935,              1.16519
            0.598402,              1.20222
             0.79787,              1.23056
            0.997337,              1.20793
              1.1968,              1.18904
             1.39627,              1.17383
             1.59574,              1.16225
             1.79521,              1.15425
             1.99467,              1.14975
             2.19414,               1.1487
             2.39361,              1.15103
             2.59308,              1.15668
             2.79254,              1.16558
             2.99201,              1.17764
             3.19148,              1.19281
             3.39095,                1.211
             3.59041,              1.23214
             3.78988,              1.25616
             3.98935,              1.28297
             4.18882,              1.31251
             4.38828,              1.34469
             4.58775,              1.37944
             4.78722,              1.41667
             4.98669,              1.45633
             5.18615,              1.49832
             5.38562,              1.54259
             5.58509,              1.58905
             5.78456,              1.63765

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,           -0.0252098
            0.199467,           -0.0303049
            0.398935,           -0.0300869
            0.598402,           -0.0360168
             0.79787,            -0.041194
            0.997337,           -0.0491043
              1.1968,           -0.0598902
             1.39627,           -0.0717142
             1.59574,           -0.0882546
             1.79521,            -0.105853
             1.99467,            -0.128672
             2.19414,            -0.154011
             2.39361,             -0.18465
             2.59308,            -0.218744
             2.79254,            -0.258588
             2.99201,            -0.302258
             3.19148,            -0.352291
             3.39095,            -0.406037
             3.59041,            -0.466233
             3.78988,             -0.53058
             3.98935,            -0.600516
             4.18882,            -0.675281
             4.38828,            -0.754283
             4.58775,            -0.838438
             4.78722,            -0.925571
             4.98669,             -1.01707
             5.18615,             -1.11165
             5.38562,             -1.20901
             5.58509,             -1.30925
             5.78456,             -1.41089

