------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.44309
            0.191626,              1.46293
            0.383252,              1.51946
            0.574878,              1.60554
            0.766504,              1.71306
             0.95813,              1.83508
             1.14976,              1.90922
             1.34138,              1.90895
             1.53301,              1.91088
             1.72463,               1.9152
             1.91626,              1.92202
             2.10789,               1.9314
             2.29951,              1.94336
             2.49114,               1.9579
             2.68276,                1.975
             2.87439,              1.99462
             3.06602,              2.01671
             3.25764,              2.04121
             3.44927,              2.06805
             3.64089,              2.09714
             3.83252,              2.12839
             4.02414,              2.16171
             4.21577,              2.19698
              4.4074,              2.23409
             4.59902,              2.27292
             4.79065,              2.31333
             4.98227,              2.35519
              5.1739,              2.39834
             5.36553,              2.44264
             5.55715,               2.4879

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.110747
            0.191626,            -0.113828
            0.383252,            -0.116527
            0.574878,            -0.123269
            0.766504,            -0.132518
             0.95813,            -0.144491
             1.14976,            -0.159265
             1.34138,            -0.176335
             1.53301,            -0.196007
             1.72463,            -0.218773
             1.91626,            -0.244694
             2.10789,            -0.273534
             2.29951,              -0.3048
             2.49114,            -0.339297
             2.68276,            -0.377013
             2.87439,            -0.417205
             3.06602,            -0.460228
             3.25764,            -0.506323
             3.44927,             -0.55481
             3.64089,            -0.605756
             3.83252,            -0.659409
             4.02414,            -0.715067
             4.21577,            -0.772778
              4.4074,             -0.83264
             4.59902,            -0.894048
             4.79065,             -0.95684
             4.98227,             -1.02103
              5.1739,             -1.08628
             5.36553,             -1.15207
             5.55715,             -1.21808

