------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              2.46266
            0.191468,              2.46953
            0.382936,              2.48997
            0.574404,              2.52352
            0.765872,              2.56944
             0.95734,              2.62681
             1.14881,               2.6946
             1.34028,              2.77171
             1.53174,                2.857
             1.72321,              2.94935
             1.91468,              3.04762
             2.10615,              3.13863
             2.29762,              3.21283
             2.48908,              3.29185
             2.68055,              3.37515
             2.87202,               3.4621
             3.06349,              3.55202
             3.25496,              3.64411
             3.44642,              3.73753
             3.63789,              3.83132
             3.82936,              3.92448
             4.02083,              4.01592
              4.2123,              4.10453
             4.40376,              4.18919
             4.59523,              4.26882
              4.7867,              4.34242
             4.97817,              4.40915
             5.16964,              4.46837
              5.3611,              4.51968
             5.55257,              4.55316

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,             0.148137
            0.191468,             0.139065
            0.382936,              0.11226
            0.574404,            0.0688735
            0.765872,            0.0105898
             0.95734,           -0.0606294
             1.14881,            -0.142773
             1.34028,            -0.233939
             1.53174,            -0.332422
             1.72321,            -0.436742
             1.91468,            -0.545642
             2.10615,            -0.658065
             2.29762,            -0.773123
             2.48908,            -0.890063
             2.68055,             -1.00824
             2.87202,             -1.12709
             3.06349,              -1.2461
             3.25496,             -1.36478
             3.44642,             -1.48264
             3.63789,             -1.52434
             3.82936,             -1.54064
             4.02083,             -1.56036
              4.2123,             -1.58328
             4.40376,             -1.60916
             4.59523,             -1.63776
              4.7867,             -1.66884
             4.97817,              -1.7022
             5.16964,             -1.73759
              5.3611,             -1.77483
             5.55257,             -1.81369

