------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.59173
            0.191468,              1.62505
            0.382936,               1.7037
            0.574404,                1.705
            0.765872,              1.69194
             0.95734,              1.68306
             1.14881,               1.6783
             1.34028,              1.67757
             1.53174,              1.68081
             1.72321,              1.68791
             1.91468,              1.69879
             2.10615,              1.71335
             2.29762,              1.73147
             2.48908,              1.75306
             2.68055,              1.77797
             2.87202,              1.80611
             3.06349,              1.83733
             3.25496,               1.8715
             3.44642,              1.90849
             3.63789,              1.94814
             3.82936,              1.99032
             4.02083,              2.03487
              4.2123,              2.08164
             4.40376,              2.13045
             4.59523,              2.18116
              4.7867,              2.23359
             4.97817,              2.28756
             5.16964,              2.34291
              5.3611,              2.39946
             5.55257,              2.45702

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,             0.693338
            0.191468,             0.691973
            0.382936,             0.690399
            0.574404,             0.687864
            0.765872,             0.684119
             0.95734,             0.678966
             1.14881,             0.672186
             1.34028,             0.663772
             1.53174,             0.653116
             1.72321,             0.639825
             1.91468,             0.623577
             2.10615,             0.604193
             2.29762,             0.580962
             2.48908,             0.553565
             2.68055,              0.52178
             2.87202,             0.484988
             3.06349,             0.443205
             3.25496,             0.395906
             3.44642,             0.343222
             3.63789,             0.284847
             3.82936,              0.22096
             4.02083,             0.151608
              4.2123,            0.0769274
             4.40376,          -0.00276458
             4.59523,           -0.0871664
              4.7867,            -0.175973
             4.97817,            -0.268791
             5.16964,            -0.365204
              5.3611,            -0.464749
             5.55257,            -0.567034

