------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,            -0.449483
            0.199467,            -0.455604
            0.398935,            -0.473819
            0.598402,            -0.503697
             0.79787,            -0.544581
            0.997337,            -0.595662
              1.1968,            -0.656049
             1.39627,            -0.724832
             1.59574,            -0.801121
             1.79521,            -0.884079
             1.99467,             -0.97293
             2.19414,             -1.06696
             2.39361,             -1.16553
             2.59308,             -1.26804
             2.79254,             -1.37396
             2.99201,             -1.48279
             3.19148,             -1.59406
             3.39095,             -1.70735
             3.59041,             -1.82224
             3.78988,              -1.9383
             3.98935,             -2.05512
             4.18882,             -2.17224
             4.38828,             -2.28919
             4.58775,             -2.36793
             4.78722,             -2.39133
             4.98669,             -2.41617
             5.18615,             -2.44235
             5.38562,              -2.4698
             5.58509,             -2.49843
             5.78456,             -2.52816




------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              2.21374
            0.199467,              2.22173
            0.398935,              2.24553
            0.598402,              2.28457
             0.79787,              2.33803
            0.997337,              2.40487
              1.1968,              2.48393
             1.39627,              2.57404
             1.59574,              2.66071
             1.79521,              2.73821
             1.99467,              2.82243
             2.19414,              2.91264
             2.39361,              3.00812
             2.59308,              3.10806
             2.79254,              3.21164
             2.99201,              3.31796
             3.19148,              3.42609
             3.39095,              3.53501
             3.59041,              3.64364
             3.78988,               3.7314
             3.98935,              3.77358
             4.18882,              3.81778
             4.38828,              3.86391
             4.58775,              3.91188
             4.78722,              3.96159
             4.98669,              4.01296
             5.18615,              4.06588
             5.38562,              4.12027
             5.58509,              4.17603
             5.78456,              4.23306

