------------------------------------------------------------
 EC
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,              1.13162
            0.199467,              1.13915
            0.398935,               1.1616
            0.598402,              1.19864
             0.79787,              1.21575
            0.997337,                1.193
              1.1968,                1.174
             1.39627,              1.15869
             1.59574,              1.14702
             1.79521,              1.13893
             1.99467,              1.13436
             2.19414,              1.13325
             2.39361,              1.13552
             2.59308,              1.14112
             2.79254,              1.14996
             2.99201,              1.16199
             3.19148,              1.17713
             3.39095,              1.19529
             3.59041,              1.21641
             3.78988,              1.24042
             3.98935,              1.26722
             4.18882,              1.29675
             4.38828,              1.32892
             4.58775,              1.36367
             4.78722,              1.40091
             4.98669,              1.44056
             5.18615,              1.48256
             5.38562,              1.52683
             5.58509,              1.57331
             5.78456,              1.62191

------------------------------------------------------------
 EV
------------------------------------------------------------
k ((nm)-1), E (eV)
                   0,           -0.0171033
            0.199467,            -0.018123
            0.398935,           -0.0204476
            0.598402,           -0.0244088
             0.79787,           -0.0301813
            0.997337,           -0.0379726
              1.1968,           -0.0479928
             1.39627,           -0.0604736
             1.59574,           -0.0758349
             1.79521,           -0.0943857
             1.99467,            -0.116391
             2.19414,            -0.142328
             2.39361,            -0.172388
             2.59308,               -0.207
             2.79254,            -0.246305
             2.99201,            -0.290633
             3.19148,            -0.340027
             3.39095,            -0.394648
             3.59041,            -0.454521
             3.78988,            -0.519531
             3.98935,            -0.589616
             4.18882,            -0.664609
             4.38828,            -0.744266
             4.58775,            -0.828268
             4.78722,            -0.916329
             4.98669,             -1.00809
             5.18615,             -1.10318
             5.38562,             -1.20112
             5.58509,             -1.30154
             5.78456,             -1.40399

